plate,longitude,latitude,time,status
3,113.854584,22.581332999999997,2016-08-26 00:13:21,1
2,114.08191699999999,22.543217000000002,2016-08-26 00:13:23,1
4,114.100586,22.543568,2016-08-26 00:13:26,1
0,114.062798,22.549732000000002,2016-08-26 00:13:28,1
2,114.081848,22.543266,2016-08-26 00:13:35,1
0,114.06255300000001,22.550751,2016-08-26 00:13:38,1
3,113.852654,22.58275,2016-08-26 00:13:41,1
4,114.10001399999999,22.543484,2016-08-26 00:13:41,1
4,114.10001399999999,22.543484,2016-08-26 00:13:56,1
0,114.06251499999999,22.550933999999998,2016-08-26 00:13:48,1
2,114.080551,22.543301,2016-08-26 00:13:49,1
3,113.85092900000001,22.581833,2016-08-26 00:14:01,1
2,114.07959699999999,22.5434,2016-08-26 00:13:57,1
0,114.06251499999999,22.550933999999998,2016-08-26 00:13:58,1
4,114.10001399999999,22.543484,2016-08-26 00:14:11,1
0,114.06251499999999,22.550933999999998,2016-08-26 00:14:08,1
2,114.07781999999999,22.543332999999997,2016-08-26 00:14:10,1
1,114.139198,22.564217000000003,2016-08-26 00:14:13,1
1,114.13896899999999,22.564484,2016-08-26 00:14:14,1
0,114.06251499999999,22.550933999999998,2016-08-26 00:14:18,1
3,113.849319,22.580151,2016-08-26 00:14:21,1
2,114.076447,22.543182,2016-08-26 00:14:23,1
4,114.10001399999999,22.543484,2016-08-26 00:14:26,1
0,114.06251499999999,22.550933999999998,2016-08-26 00:14:28,1
2,114.075851,22.542784,2016-08-26 00:14:30,1
1,114.137199,22.567017,2016-08-26 00:14:33,1
1,114.13733700000002,22.568434,2016-08-26 00:14:40,1
0,114.06251499999999,22.550933999999998,2016-08-26 00:14:38,1
3,113.849419,22.579416000000002,2016-08-26 00:14:41,1
4,114.099548,22.542999,2016-08-26 00:14:41,1
2,114.07575200000001,22.542883,2016-08-26 00:14:44,1
0,114.06251499999999,22.550933999999998,2016-08-26 00:14:48,1
1,114.137901,22.570601,2016-08-26 00:14:53,1
4,114.09951799999999,22.541517000000002,2016-08-26 00:14:56,1
2,114.07505,22.543301,2016-08-26 00:14:57,1
0,114.06237,22.551117,2016-08-26 00:14:58,1
3,113.851051,22.578032999999998,2016-08-26 00:15:01,1
1,114.138481,22.572917999999998,2016-08-26 00:15:06,1
0,114.062431,22.551849,2016-08-26 00:15:08,1
4,114.09951799999999,22.541483,2016-08-26 00:15:11,1
1,114.13838200000001,22.574217,2016-08-26 00:15:14,1
0,114.062469,22.552483,2016-08-26 00:15:18,1
3,113.85157,22.577618,2016-08-26 00:15:21,1
2,114.071716,22.543034,2016-08-26 00:15:18,1
2,114.071716,22.543034,2016-08-26 00:15:19,1
2,114.070847,22.543051000000002,2016-08-26 00:15:25,1
4,114.09951799999999,22.541483,2016-08-26 00:15:26,1
1,114.13708500000001,22.575684,2016-08-26 00:15:27,1
0,114.06241599999998,22.553048999999998,2016-08-26 00:15:28,1
3,113.85208100000001,22.577133,2016-08-26 00:15:31,0
1,114.13486499999999,22.5765,2016-08-26 00:15:40,1
4,114.09951799999999,22.541483,2016-08-26 00:15:41,1
2,114.06856499999999,22.543016,2016-08-26 00:15:39,1
2,114.067497,22.543083,2016-08-26 00:15:47,1
1,114.133614,22.576933,2016-08-26 00:15:48,1
0,114.062653,22.555799,2016-08-26 00:15:48,1
3,113.85208100000001,22.577133,2016-08-26 00:15:51,0
4,114.099617,22.539818,2016-08-26 00:15:56,1
0,114.06263,22.557699,2016-08-26 00:15:58,1
2,114.0653,22.543051000000002,2016-08-26 00:16:00,1
1,114.131599,22.577582999999997,2016-08-26 00:16:01,1
0,114.062599,22.559816,2016-08-26 00:16:08,1
3,113.85208100000001,22.577133,2016-08-26 00:16:11,0
4,114.09936499999999,22.538366,2016-08-26 00:16:11,1
2,114.06358300000001,22.5429,2016-08-26 00:16:13,1
1,114.12930300000001,22.577749,2016-08-26 00:16:14,1
0,114.062614,22.561768,2016-08-26 00:16:18,1
2,114.061668,22.542967,2016-08-26 00:16:25,1
4,114.09783200000001,22.53825,2016-08-26 00:16:26,1
1,114.127251,22.57745,2016-08-26 00:16:26,1
3,113.853569,22.575867000000002,2016-08-26 00:16:31,0
0,114.06282,22.56325,2016-08-26 00:16:28,1
0,114.06271399999999,22.564583,2016-08-26 00:16:38,1
2,114.059601,22.5429,2016-08-26 00:16:39,1
4,114.09553500000001,22.538116,2016-08-26 00:16:41,1
1,114.12426799999999,22.577084,2016-08-26 00:16:44,1
2,114.058334,22.542883,2016-08-26 00:16:47,1
1,114.12386299999999,22.577118,2016-08-26 00:16:48,1
0,114.06255300000001,22.5655,2016-08-26 00:16:48,1
3,113.853897,22.575617,2016-08-26 00:16:52,0
4,114.09281899999999,22.538116,2016-08-26 00:16:56,1
0,114.06237,22.5665,2016-08-26 00:16:58,1
2,114.05578600000001,22.543118,2016-08-26 00:17:00,1
1,114.122749,22.5772,2016-08-26 00:17:01,1
0,114.06241599999998,22.56785,2016-08-26 00:17:08,1
3,113.853897,22.575617,2016-08-26 00:17:12,0
4,114.089752,22.537832,2016-08-26 00:17:11,1
2,114.05363500000001,22.5432,2016-08-26 00:17:13,1
1,114.12073500000001,22.577,2016-08-26 00:17:14,1
0,114.06213400000001,22.569366,2016-08-26 00:17:18,1
2,114.051353,22.542717,2016-08-26 00:17:25,1
1,114.119736,22.576883,2016-08-26 00:17:27,1
0,114.06181299999999,22.570967,2016-08-26 00:17:28,1
4,114.08657099999999,22.537416,2016-08-26 00:17:26,1
3,113.85516399999999,22.574699,2016-08-26 00:17:31,0
2,114.04895,22.542683,2016-08-26 00:17:39,1
0,114.061401,22.572733,2016-08-26 00:17:38,1
1,114.118301,22.576851,2016-08-26 00:17:40,1
4,114.083679,22.537382,2016-08-26 00:17:41,1
0,114.06111899999999,22.573999,2016-08-26 00:17:48,1
2,114.046783,22.54265,2016-08-26 00:17:52,1
1,114.11737099999999,22.577217,2016-08-26 00:17:53,1
