plate,longitude,latitude,time,status
2,114.034683,22.522051,2016-12-15 00:07:46,0
1,113.919533,22.519282999999998,2016-12-15 00:07:47,0
4,114.128349,22.556549,2016-12-15 00:07:59,1
3,113.94501499999998,22.541582000000002,2016-12-15 00:08:02,1
2,114.034599,22.522066,2016-12-15 00:08:01,0
1,113.91885400000001,22.518182999999997,2016-12-15 00:08:02,0
2,114.03458400000001,22.522083,2016-12-15 00:08:09,0
4,114.128464,22.556299,2016-12-15 00:08:14,1
1,113.91787,22.516768,2016-12-15 00:08:17,0
3,113.94501499999998,22.541582000000002,2016-12-15 00:08:22,1
2,114.03461499999999,22.522066,2016-12-15 00:08:24,0
4,114.12883000000001,22.556,2016-12-15 00:08:29,1
1,113.91705300000001,22.516932999999998,2016-12-15 00:08:32,0
2,114.03461499999999,22.52215,2016-12-15 00:08:39,0
3,113.94501499999998,22.543617,2016-12-15 00:08:42,1
4,114.129646,22.555317000000002,2016-12-15 00:08:44,1
1,113.916321,22.517232999999997,2016-12-15 00:08:47,0
2,114.034752,22.52195,2016-12-15 00:08:54,0
1,113.915581,22.517483,2016-12-15 00:08:55,0
4,114.130264,22.554399,2016-12-15 00:08:59,1
3,113.94487,22.544567,2016-12-15 00:09:02,1
2,114.03463,22.521601,2016-12-15 00:09:09,0
1,113.91466499999999,22.517799,2016-12-15 00:09:10,0
4,114.130302,22.553368,2016-12-15 00:09:14,1
2,114.03458400000001,22.52125,2016-12-15 00:09:16,0
3,113.94313000000001,22.543283,2016-12-15 00:09:22,1
4,114.13028,22.55335,2016-12-15 00:09:22,0
1,113.914551,22.51845,2016-12-15 00:09:25,0
0,114.099197,22.543383,2016-12-15 00:09:30,1
0,114.09929699999999,22.543367,2016-12-15 00:09:32,1
2,114.03463,22.5205,2016-12-15 00:09:32,0
4,114.13028,22.55335,2016-12-15 00:09:37,0
3,113.94113200000001,22.54315,2016-12-15 00:09:42,1
1,113.91556499999999,22.519517999999998,2016-12-15 00:09:40,0
0,114.10061599999999,22.543449,2016-12-15 00:09:44,1
2,114.034821,22.520468,2016-12-15 00:09:47,0
1,113.915871,22.519882,2016-12-15 00:09:48,0
4,114.13036299999999,22.55265,2016-12-15 00:09:52,0
0,114.1026,22.5439,2016-12-15 00:09:59,1
3,113.937386,22.542917000000003,2016-12-15 00:10:02,1
2,114.034866,22.520082000000002,2016-12-15 00:10:02,0
1,113.91646599999999,22.520384,2016-12-15 00:10:03,0
4,114.130096,22.551867,2016-12-15 00:10:07,0
0,114.105148,22.54435,2016-12-15 00:10:14,1
1,113.917084,22.52095,2016-12-15 00:10:18,0
3,113.933784,22.542732,2016-12-15 00:10:22,1
4,114.129433,22.550933999999998,2016-12-15 00:10:22,0
2,114.035164,22.519882,2016-12-15 00:10:25,0
2,114.03521699999999,22.51985,2016-12-15 00:10:26,0
0,114.10673500000001,22.544649,2016-12-15 00:10:29,1
1,113.917831,22.520567,2016-12-15 00:10:33,0
4,114.128998,22.55065,2016-12-15 00:10:37,0
2,114.03566699999999,22.519484,2016-12-15 00:10:40,0
3,113.929703,22.542816000000002,2016-12-15 00:10:42,1
0,114.10880300000001,22.545067,2016-12-15 00:10:44,1
1,113.9189,22.52,2016-12-15 00:10:48,0
4,114.128647,22.550318,2016-12-15 00:10:52,0
1,113.91956299999998,22.519683999999998,2016-12-15 00:10:56,0
2,114.035347,22.5194,2016-12-15 00:10:55,0
2,114.035316,22.519182,2016-12-15 00:11:03,0
3,113.926033,22.5431,2016-12-15 00:11:02,1
4,114.128647,22.550318,2016-12-15 00:11:07,0
1,113.920601,22.518632999999998,2016-12-15 00:11:12,0
2,114.035431,22.518766,2016-12-15 00:11:18,0
3,113.92696399999998,22.543249,2016-12-15 00:11:22,1
4,114.12793,22.5502,2016-12-15 00:11:22,0
1,113.920898,22.518101,2016-12-15 00:11:27,1
2,114.035568,22.518583,2016-12-15 00:11:33,0
4,114.127251,22.549816,2016-12-15 00:11:37,0
3,113.92701699999999,22.540051000000002,2016-12-15 00:11:42,1
1,113.921547,22.518101,2016-12-15 00:11:42,1
2,114.035866,22.518499,2016-12-15 00:11:48,0
4,114.12677,22.549566,2016-12-15 00:11:52,0
1,113.921982,22.517866,2016-12-15 00:11:57,1
3,113.92696399999998,22.536501,2016-12-15 00:12:02,1
2,114.03576699999999,22.519083,2016-12-15 00:12:03,0
4,114.125519,22.54925,2016-12-15 00:12:07,0
1,113.922546,22.519051,2016-12-15 00:12:12,1
2,114.03643000000001,22.519318,2016-12-15 00:12:18,0
3,113.925919,22.535482000000002,2016-12-15 00:12:22,1
4,114.124283,22.548883,2016-12-15 00:12:22,0
1,113.92381999999999,22.521532,2016-12-15 00:12:27,1
0,114.110901,22.5418,2016-12-15 00:12:28,1
0,114.11088600000001,22.5418,2016-12-15 00:12:30,1
2,114.03623200000001,22.519432000000002,2016-12-15 00:12:33,0
1,113.924332,22.523398999999998,2016-12-15 00:12:42,1
0,114.110703,22.54175,2016-12-15 00:12:41,1
2,114.036247,22.519417,2016-12-15 00:12:48,0
3,113.923302,22.5354,2016-12-15 00:12:42,1
1,113.92495,22.524982,2016-12-15 00:12:57,1
0,114.110619,22.540267999999998,2016-12-15 00:12:57,1
3,113.923302,22.5354,2016-12-15 00:13:02,1
2,114.036217,22.519466,2016-12-15 00:13:03,0
4,114.123085,22.548482999999997,2016-12-15 00:13:07,0
0,114.110832,22.538282000000002,2016-12-15 00:13:12,1
1,113.92631499999999,22.525017000000002,2016-12-15 00:13:12,1
2,114.03627,22.519417,2016-12-15 00:13:18,0
1,113.92718500000001,22.524782000000002,2016-12-15 00:13:20,1
4,114.121765,22.547983,2016-12-15 00:13:22,0
0,114.111069,22.5359,2016-12-15 00:13:27,1
2,114.03631599999999,22.519417,2016-12-15 00:13:33,0
1,113.92903100000001,22.524349,2016-12-15 00:13:35,1
4,114.121429,22.547466,2016-12-15 00:13:37,0
0,114.11143500000001,22.534117000000002,2016-12-15 00:13:42,1
3,113.92316399999999,22.533333,2016-12-15 00:13:22,1
3,113.92236299999999,22.532583,2016-12-15 00:13:42,1
3,113.92153200000001,22.532516,2016-12-15 00:13:50,0
4,114.119781,22.546967000000002,2016-12-15 00:13:52,0
2,114.03627,22.519517999999998,2016-12-15 00:13:48,0
1,113.93058,22.524584,2016-12-15 00:13:50,1
0,114.111847,22.531717,2016-12-15 00:13:57,1
1,113.931351,22.524683,2016-12-15 00:13:58,1
4,114.118553,22.546833,2016-12-15 00:14:07,0
3,113.921547,22.532516,2016-12-15 00:14:10,0
4,114.118553,22.546833,2016-12-15 00:14:22,0
2,114.036217,22.519567000000002,2016-12-15 00:14:03,0
0,114.113464,22.53175,2016-12-15 00:14:12,1
1,113.93412,22.52475,2016-12-15 00:14:13,1
2,114.036301,22.519533,2016-12-15 00:14:18,0
1,113.936066,22.524668,2016-12-15 00:14:21,1
3,113.921547,22.532516,2016-12-15 00:14:30,0
1,113.936066,22.524668,2016-12-15 00:14:22,1
0,114.115067,22.532467,2016-12-15 00:14:27,1
4,114.118553,22.546833,2016-12-15 00:14:37,0
1,113.939232,22.524433,2016-12-15 00:14:36,1
2,114.03638500000001,22.519466,2016-12-15 00:14:35,0
2,114.036285,22.519448999999998,2016-12-15 00:14:41,0
1,113.942451,22.52425,2016-12-15 00:14:51,1
3,113.921547,22.532516,2016-12-15 00:14:50,0
4,114.118553,22.546833,2016-12-15 00:14:52,0
0,114.115051,22.533234,2016-12-15 00:14:42,1
2,114.036148,22.519333,2016-12-15 00:14:57,1
0,114.114883,22.533832999999998,2016-12-15 00:14:57,1
1,113.944382,22.52405,2016-12-15 00:15:06,1
4,114.118553,22.546833,2016-12-15 00:15:07,0
3,113.921219,22.532667,2016-12-15 00:15:10,0
2,114.03553000000001,22.518499,2016-12-15 00:15:12,1
0,114.114433,22.535032,2016-12-15 00:15:12,0
1,113.946533,22.52375,2016-12-15 00:15:21,1
4,114.118553,22.546833,2016-12-15 00:15:22,0
